Energy_kcal,Protein_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
366.0,10.6,75.5,0.4,3.3,1341.0,1.786,0.0,0.0,0.11,583.0,1.339,357.0,0.216,28.6,34.0,0.0,103.0,20.0,0.98
62.0,1.84,13.08,0.07,0.6,232.0,0.309,0.0,0.0,0.02,101.0,0.232,64.0,0.043,4.96,6.0,0.0,18.0,3.5,0.17
53.0,1.82,10.92,0.76,0.8,0.0,0.096,0.0,0.0,0.04,119.0,0.126,97.0,0.041,5.33,7.0,0.196,37.0,3.0,0.23
365.0,11.8,77.26,0.0,2.9,0.0,1.94,0.0,0.0,0.0,1930.0,1.2,354.0,0.079,38.82,16.0,0.0,213.0,23.5,0.57
379.0,13.15,67.7,0.99,10.1,0.0,0.1,0.0,0.0,0.42,32.0,0.46,52.0,0.391,4.25,138.0,3.63,410.0,28.9,3.64
71.0,2.54,12.0,0.27,1.7,0.0,0.005,0.0,0.0,0.08,6.0,0.076,9.0,0.074,0.9,27.0,0.58,77.0,5.4,1.0
362.0,11.92,69.52,1.5,10.0,772.0,0.08,0.0,0.0,0.51,32.0,0.445,351.0,0.36,24.72,128.0,3.385,423.0,23.2,2.51
68.0,2.37,11.67,0.46,1.7,130.0,0.29,0.0,0.0,0.07,71.0,0.26,80.0,0.066,5.96,26.0,0.558,77.0,5.0,0.62
366.0,8.62,76.74,28.87,8.3,0.0,0.98,0.0,1.2,0.42,0.0,0.73,243.0,0.0,8.78,87.0,0.0,294.0,0.0,1.97
369.0,9.53,76.08,25.33,8.0,440.0,0.882,0.0,0.0,0.5,314.0,0.748,234.0,0.302,8.46,92.0,2.58,322.0,6.4,2.29
96.0,2.37,18.95,6.31,2.0,110.0,0.22,0.0,0.0,0.12,78.0,0.168,61.0,0.082,2.11,24.0,0.643,80.0,1.6,0.57
368.0,9.2,76.91,30.02,7.2,520.0,1.2,0.0,0.0,0.44,208.0,0.917,226.0,0.235,8.22,88.0,2.247,297.0,15.8,1.7
360.0,8.45,76.33,37.14,5.7,589.0,1.079,0.0,0.7,0.4,348.0,0.846,228.0,0.285,9.43,79.0,1.985,273.0,6.9,1.76
88.0,1.98,17.91,8.71,1.3,138.0,0.253,0.0,0.1,0.09,82.0,0.179,56.0,0.074,2.21,19.0,0.466,64.0,1.6,0.42
394.0,7.2,83.3,42.8,4.6,892.0,2.64,7.29,29.7,0.29,1253.0,1.66,457.0,0.25,19.3,60.0,1.693,251.0,15.1,14.5
357.0,13.1,75.6,1.6,12.8,1.0,0.12,0.0,0.0,3.44,59.0,0.07,500.0,0.33,3.57,130.0,5.262,384.0,70.7,4.41
56.0,2.0,11.8,0.0,2.7,0.0,0.019,0.0,0.0,0.0,7.0,0.01,80.0,0.052,0.56,20.0,0.822,60.0,0.0,0.69
342.0,11.2,75.2,0.42,9.5,0.0,0.391,0.0,0.0,1.31,78.0,0.4,40.0,0.458,3.39,122.0,3.2,379.0,70.7,2.66
62.0,2.0,13.7,0.08,1.6,0.0,0.073,0.0,0.0,0.24,14.0,0.07,7.0,0.083,0.62,22.0,0.0,69.0,12.8,0.48
366.0,16.26,76.39,1.37,9.4,0.0,0.13,0.42,0.0,0.0,240.0,0.639,24.0,0.453,4.41,133.0,0.0,331.0,123.1,3.07
337.0,11.37,78.76,0.94,12.0,0.0,1.155,0.0,10.1,0.0,43.0,0.255,50.0,0.362,2.95,133.0,2.52,370.0,2.8,3.0
351.0,11.8,81.4,0.9,12.4,0.0,0.14,0.0,0.0,0.65,40.0,0.29,58.0,0.334,2.5,133.0,0.0,384.0,5.9,3.05
402.0,6.3,89.8,0.0,1.7,0.0,0.075,0.0,0.0,0.0,19.0,2.6,6.0,0.169,31.7,25.0,1.5,98.0,10.5,1.03
364.0,14.7,79.6,0.0,4.4,0.0,0.17,0.0,0.0,0.0,32.0,2.6,28.0,0.409,31.7,145.0,1.755,355.0,123.1,2.36
368.0,6.72,79.91,0.55,3.9,6.0,0.131,0.0,0.0,0.16,219.0,0.675,4.0,0.03,2.9,28.0,0.132,76.0,17.0,0.6
371.0,8.8,79.6,0.64,1.6,11.0,0.147,0.0,0.0,0.0,5.0,0.13,2.0,0.075,1.0,27.0,0.106,73.0,17.0,0.41
71.0,1.71,14.76,0.12,0.8,0.0,0.046,0.0,0.0,0.03,38.0,0.086,1.0,0.0,0.57,7.0,0.037,20.0,3.1,0.18
65.0,1.23,13.86,0.09,0.7,0.0,0.035,0.0,0.0,0.02,37.0,0.103,1.0,0.0,0.57,5.0,0.037,14.0,2.7,0.14
65.0,1.23,13.86,0.09,0.7,0.0,0.035,0.0,0.0,0.02,37.0,0.103,1.0,0.0,0.57,5.0,0.037,14.0,2.7,0.14
52.0,0.9,11.5,0.04,0.1,0.0,0.027,0.0,0.0,0.02,3.0,0.071,1.0,0.034,3.96,3.0,0.144,17.0,3.0,0.16
50.0,1.46,10.66,0.03,0.5,0.0,0.015,0.0,0.0,0.02,25.0,0.07,89.0,0.041,3.99,5.0,0.001,16.0,2.8,0.13
369.0,10.6,78.0,0.0,1.9,0.0,0.058,0.0,0.0,0.11,24.0,0.06,14.0,0.079,1.5,13.0,0.693,88.0,23.5,0.53
53.0,1.82,10.92,0.76,0.8,0.0,0.096,0.0,0.0,0.04,119.0,0.126,97.0,0.041,5.33,7.0,0.196,37.0,3.0,0.23
363.0,10.6,79.55,16.63,2.8,0.0,2.05,0.0,0.0,2.07,1924.0,1.25,375.0,0.079,42.88,33.0,0.0,124.0,0.0,0.87
71.0,2.54,12.0,0.27,1.7,0.0,0.005,0.0,0.0,0.08,6.0,0.076,9.0,0.074,0.9,27.0,0.58,77.0,5.4,1.0
59.0,2.03,11.74,0.25,2.0,0.0,0.019,0.0,0.0,0.53,9.0,0.011,80.0,0.057,0.56,21.0,0.817,60.0,11.0,0.69
62.0,2.0,13.7,0.08,1.6,0.0,0.073,0.0,0.0,0.24,14.0,0.07,7.0,0.083,0.62,22.0,0.583,69.0,12.8,0.48
389.0,8.7,80.9,28.3,7.0,459.0,4.08,12.0,6.0,2.43,1374.0,0.76,33.0,0.6,3.7,68.0,0.0,228.0,17.3,7.7
352.0,7.8,83.8,22.3,9.6,0.0,0.96,2.88,0.0,0.32,313.0,0.72,13.0,0.173,3.46,93.0,4.198,276.0,4.1,2.88
395.0,6.5,81.6,29.2,4.7,400.0,0.9,2.7,0.9,1.56,296.0,0.7,41.0,0.2,3.3,57.0,0.0,162.0,16.7,1.6
413.0,6.8,75.6,35.3,4.7,495.0,1.724,5.2,20.7,23.64,573.0,1.3,345.0,0.229,15.5,55.0,0.473,207.0,6.5,12.9
334.0,12.64,72.62,2.46,11.9,0.0,0.28,0.0,0.0,0.66,29.0,0.34,36.0,0.361,2.88,115.0,0.0,346.0,31.3,3.21
390.0,9.89,78.09,22.89,8.2,0.0,0.66,0.0,0.0,1.46,100.0,0.2,33.0,0.345,15.0,67.0,0.0,167.0,17.3,1.5
405.0,3.34,87.2,43.7,3.8,1324.0,1.764,5.29,52.9,0.11,587.0,1.323,70.0,0.24,15.87,36.0,0.246,141.0,6.5,0.56
397.0,4.17,85.93,48.97,3.1,478.0,1.79,5.0,23.4,0.08,1121.0,1.33,366.0,0.09,30.0,50.0,0.0,83.0,5.0,13.32
374.0,9.14,79.02,25.18,6.3,2.0,1.83,0.0,0.1,0.55,2227.0,1.37,387.0,0.0,23.22,90.0,0.0,390.0,0.0,13.78
412.0,3.92,83.65,43.23,2.1,436.0,0.321,0.0,36.4,5.39,945.0,1.049,11.0,0.09,19.52,43.0,0.0,133.0,7.8,5.99
379.0,11.38,77.77,16.69,8.3,356.0,0.88,0.0,11.5,4.86,1214.0,0.683,201.0,0.474,29.3,115.0,3.041,371.0,6.9,7.18
379.0,11.23,78.09,16.67,8.7,354.0,0.88,0.0,12.0,3.24,1221.0,0.75,210.0,0.459,29.5,114.0,0.0,369.0,6.3,7.14
372.0,12.38,74.9,16.34,10.2,359.0,0.89,0.0,11.5,3.11,1240.0,0.72,242.0,0.317,29.9,168.0,3.85,518.0,7.0,7.72
412.0,9.66,74.67,24.63,9.4,0.0,0.229,0.15,0.5,1.15,33.0,0.379,101.0,0.318,2.69,110.0,2.521,357.0,13.8,2.64
388.0,8.42,80.57,25.65,9.6,1.0,0.248,0.06,0.4,1.07,29.0,0.368,65.0,0.265,2.58,100.0,1.554,316.0,17.3,1.59
369.0,8.12,74.83,0.88,4.7,0.0,0.13,0.0,0.0,0.19,0.0,0.8,413.0,0.0,30.0,23.0,0.0,115.0,0.0,0.66
379.0,8.3,75.42,31.27,6.0,943.0,1.257,0.03,0.3,0.46,411.0,0.943,307.0,0.279,11.3,84.0,2.38,300.0,16.0,1.85
371.0,8.82,72.41,30.85,6.9,0.0,1.197,0.0,0.8,0.55,381.0,0.892,297.0,0.364,10.7,92.0,2.224,296.0,16.4,1.94
364.0,17.03,62.94,1.43,14.3,0.0,0.11,0.0,0.0,0.0,38.0,0.97,79.0,0.3,8.07,241.0,5.7,694.0,0.0,4.2
43.0,2.03,7.49,0.0,1.7,1.0,0.013,0.0,0.0,0.0,5.0,0.115,11.0,0.041,0.97,30.0,0.679,83.0,0.0,0.53
378.0,8.8,80.5,27.0,7.6,549.0,1.852,5.6,22.2,0.44,1246.0,1.4,370.0,0.253,16.7,89.0,2.32,222.0,18.5,13.9
43.0,2.03,7.49,0.0,1.7,1.0,0.013,0.0,0.0,0.0,5.0,0.115,11.0,0.041,0.97,30.0,0.678,82.0,0.0,0.53
374.0,7.7,85.2,24.8,6.3,0.0,0.877,2.6,10.5,0.39,285.0,0.7,34.0,0.263,7.9,42.0,2.447,140.0,33.7,6.6
200.0,6.69,84.59,0.19,47.5,2.0,1.66,5.0,20.0,0.6,553.0,1.29,333.0,0.31,15.0,53.0,0.0,200.0,9.0,12.5
372.0,8.5,80.8,27.29,7.5,0.0,0.64,0.0,0.4,0.39,96.0,0.1,32.0,0.328,14.5,65.0,0.0,161.0,17.3,1.5
312.0,5.6,76.8,32.3,9.1,281.0,3.774,11.3,0.0,25.47,1270.0,2.8,1887.0,0.218,34.0,60.0,1.483,189.0,7.0,28.3
61.0,2.08,13.49,0.0,2.2,0.0,0.044,0.0,0.0,0.0,8.0,0.053,8.0,0.086,0.56,22.0,0.482,64.0,0.0,0.61
61.0,2.07,13.47,0.0,2.2,0.0,0.044,0.0,0.0,0.0,8.0,0.053,8.0,0.086,0.56,22.0,0.481,63.0,0.0,0.61
369.0,5.7,86.9,11.6,2.8,494.0,2.41,6.2,21.0,0.14,1629.0,1.81,12.0,0.145,29.2,24.0,0.996,87.0,12.4,5.2
368.0,7.0,81.09,28.6,9.9,0.0,1.02,3.09,0.3,1.44,334.0,0.8,41.0,0.34,9.19,65.0,2.564,204.0,7.0,7.69
358.0,6.7,79.2,22.6,6.8,257.0,0.909,2.7,0.0,1.04,296.0,0.7,455.0,0.145,8.2,58.0,2.031,182.0,17.0,6.8
387.0,7.6,81.3,34.2,6.5,497.0,1.667,5.0,20.0,0.62,1120.0,1.3,333.0,0.241,15.0,80.0,2.25,200.0,37.5,12.5
378.0,8.1,81.7,32.1,6.4,554.0,1.852,5.6,22.2,0.27,1246.0,1.4,370.0,0.255,16.7,90.0,2.311,222.0,18.9,13.9
386.0,5.5,85.4,27.29,4.2,420.0,1.51,4.5,18.2,0.77,502.0,1.1,303.0,0.129,13.6,24.0,0.0,182.0,19.8,11.39
383.0,5.4,84.5,33.09,5.0,526.0,1.85,5.59,22.2,0.62,616.0,1.39,370.0,0.148,16.7,30.0,0.0,222.0,6.5,13.89
383.0,5.6,83.7,37.2,5.7,527.0,1.852,5.6,22.2,0.7,616.0,1.4,370.0,0.148,16.7,59.0,0.369,222.0,6.5,13.9
411.0,5.45,77.99,30.3,6.8,918.0,2.7,6.65,19.4,2.14,613.0,2.467,444.0,0.192,20.48,54.0,1.545,199.0,4.7,18.12
386.0,5.5,85.4,27.29,4.2,421.0,1.51,4.5,18.2,0.58,502.0,1.1,303.0,0.129,13.6,48.0,0.0,182.0,6.5,11.39
376.0,6.19,83.9,21.0,5.8,433.0,1.05,3.2,18.9,0.4,881.0,0.8,421.0,0.165,23.7,42.0,0.332,211.0,12.2,7.9
381.0,7.9,79.4,31.89,5.0,0.0,0.111,0.0,0.8,1.02,10.0,0.1,36.0,0.199,2.0,44.0,0.0,146.0,13.0,1.1
381.0,9.0,80.1,27.9,7.4,375.0,3.33,10.0,4.0,5.85,1121.0,0.63,36.0,0.32,3.3,68.0,0.0,226.0,17.3,6.3
355.0,9.0,75.19,25.5,8.3,167.0,3.56,11.0,0.4,7.2,1226.0,0.68,51.0,0.2,7.69,60.0,0.0,173.0,17.3,2.4
395.0,4.3,85.59,29.6,0.4,500.0,1.66,5.0,20.0,0.36,563.0,1.25,10.0,0.107,6.0,21.0,0.0,62.0,5.7,0.69
353.0,14.44,78.15,20.0,14.1,106.0,0.705,2.12,4.2,0.99,226.0,0.529,71.0,0.478,2.54,144.0,3.229,327.0,19.0,2.89
390.0,6.6,83.0,34.7,4.4,740.0,1.7,5.0,0.0,0.4,553.0,1.25,24.0,0.2,9.0,72.0,0.0,237.0,19.9,7.5
385.0,6.8,87.0,33.0,3.4,502.0,1.7,5.0,20.0,0.57,553.0,1.25,22.0,0.1,6.2,22.0,0.15,60.0,5.1,0.3
348.0,8.8,79.6,0.3,4.8,0.0,0.15,0.0,0.0,0.12,0.0,0.61,2.0,0.0,4.42,27.0,0.0,73.0,0.0,0.41
361.0,8.8,79.2,0.64,1.6,0.0,0.15,0.0,0.0,0.12,0.0,0.61,2.0,0.0,4.42,27.0,0.0,73.0,0.0,0.41
371.0,7.1,87.3,28.7,5.8,750.0,4.0,12.0,30.0,27.0,1347.0,3.0,25.0,0.257,36.0,29.0,2.282,131.0,33.7,30.0
350.0,9.19,83.4,20.29,10.8,0.0,0.93,3.0,0.0,0.0,616.0,0.68,28.0,0.0,30.0,86.0,0.0,368.0,0.0,2.79
376.0,3.95,81.59,42.09,2.3,0.0,1.66,5.0,20.0,0.0,1121.0,1.26,0.0,0.0,30.0,16.0,0.0,82.0,0.0,12.5
406.0,4.57,87.09,43.86,1.6,481.0,1.66,5.0,20.0,0.5,1121.0,1.26,33.0,0.12,30.0,16.0,0.0,50.0,8.0,12.5
381.0,6.3,86.4,9.0,1.0,637.0,2.89,6.13,62.1,0.0,2058.0,1.71,7.0,0.203,35.09,24.0,0.0,121.0,0.0,1.08
401.0,5.0,87.9,45.7,2.5,1245.0,2.57,5.78,70.3,0.26,1049.0,1.58,407.0,0.1,15.5,35.0,0.839,113.0,12.6,12.5
407.0,7.62,79.68,29.29,2.5,8.0,0.12,0.0,0.0,3.71,24.0,0.18,23.0,0.0,1.97,74.0,0.0,213.0,0.0,1.42
372.0,11.45,75.41,15.57,8.6,3.0,0.13,0.0,0.0,4.49,36.0,0.55,58.0,0.0,4.07,136.0,0.0,429.0,0.0,2.89
382.0,10.6,79.79,25.37,8.1,1.0,0.13,0.0,0.8,4.53,37.0,0.42,50.0,0.0,3.24,106.0,0.0,347.0,0.0,2.63
379.0,4.55,88.89,44.33,2.6,8.0,0.06,0.0,0.3,2.51,15.0,0.16,18.0,0.0,1.87,57.0,0.0,156.0,0.0,1.04
382.0,4.21,89.91,43.12,2.7,9.0,0.04,0.0,0.2,2.6,15.0,0.15,16.0,0.0,2.06,61.0,0.0,166.0,0.0,1.11
200.0,17.56,59.51,0.0,41.3,0.0,0.68,0.23,0.0,0.0,299.0,1.1,66.0,1.09,13.88,606.0,17.38,1314.0,0.0,11.23
348.0,11.24,81.01,0.81,11.8,0.0,0.256,0.0,0.0,0.0,51.0,0.226,45.0,0.0,3.33,172.0,0.0,362.0,0.0,2.54
366.0,31.43,49.38,7.14,11.9,6.0,0.6,0.21,6.0,19.29,892.0,1.97,50.0,0.62,8.34,313.0,19.08,1130.0,0.0,16.01
381.0,4.76,80.95,9.52,4.8,0.0,1.429,4.29,42.9,0.0,0.0,1.071,0.0,0.0,5.14,0.0,0.0,0.0,0.0,0.0
376.0,4.6,89.3,49.9,7.4,511.0,1.72,5.0,52.0,0.31,573.0,1.29,9.0,0.092,15.5,25.0,0.376,65.0,9.0,5.2
355.0,6.6,85.3,35.9,8.0,283.0,0.94,2.8,3.0,0.36,308.0,0.71,33.0,0.3,8.5,88.0,2.497,224.0,4.6,2.8
357.0,6.2,86.2,30.2,8.5,726.0,2.26,6.8,68.0,15.3,755.0,1.69,18.0,0.17,26.1,54.0,1.921,164.0,13.0,1.2
342.0,11.6,81.0,0.4,13.8,0.0,0.91,2.7,0.0,0.67,599.0,0.68,35.0,0.0,29.5,110.0,0.0,469.0,0.0,2.7
367.0,16.7,71.4,24.0,14.5,1.0,0.02,0.0,1.0,1.33,57.0,0.07,59.0,1.111,2.79,82.0,0.0,251.0,17.1,0.4
364.0,11.39,78.69,15.5,13.7,189.0,6.05,18.0,91.0,60.97,2030.0,0.31,41.0,0.251,2.4,7.0,0.0,38.0,21.4,0.1
336.0,13.0,78.6,0.93,8.0,0.0,0.373,0.0,0.0,1.06,27.0,0.12,38.0,0.428,3.0,153.0,3.962,240.0,37.2,3.11
349.0,10.0,79.0,21.8,6.0,0.0,0.236,0.0,0.0,0.84,26.0,0.1,43.0,0.374,2.5,114.0,3.151,264.0,31.6,2.51
299.0,9.4,79.3,18.8,21.7,6.0,0.317,0.0,0.0,2.39,47.0,0.264,26.0,0.398,4.1,18.0,0.0,236.0,24.5,2.59
311.0,24.89,67.19,16.5,20.1,5.0,0.14,0.0,0.0,0.38,107.0,0.23,119.0,1.449,6.09,101.0,2.788,301.0,17.1,1.7
371.0,13.7,68.18,1.42,9.4,0.0,0.1,0.0,0.0,0.42,32.0,0.54,47.0,0.37,4.64,270.0,4.3,458.0,28.9,3.2
387.0,3.23,90.32,38.04,2.3,454.0,1.613,4.84,19.4,0.08,536.0,1.21,3.0,0.087,11.61,19.0,0.0,61.0,7.2,0.38
369.0,10.39,74.52,21.14,8.2,440.0,0.862,0.0,0.1,0.5,314.0,0.717,229.0,0.345,8.31,99.0,2.79,353.0,2.9,2.6
384.0,8.69,73.68,28.91,6.4,0.0,0.88,0.0,0.0,0.43,0.0,0.66,220.0,0.0,7.91,89.0,0.0,302.0,0.0,2.01
368.0,8.97,75.7,29.45,6.7,0.0,1.14,0.0,0.9,0.44,0.0,0.98,277.0,0.0,10.07,92.0,0.0,315.0,0.0,2.07
346.0,15.98,65.78,1.56,20.3,0.0,0.956,0.0,2.4,0.9,53.0,0.679,95.0,0.752,4.03,206.0,3.61,374.0,88.3,3.87
360.0,9.11,75.68,35.65,5.8,494.0,1.11,0.0,0.7,0.4,348.0,0.79,235.0,0.318,9.1,82.0,2.043,292.0,2.9,1.98
342.0,9.83,75.86,0.71,4.6,0.0,0.15,0.0,0.0,0.11,0.0,0.85,441.0,0.0,42.03,32.0,0.0,79.0,0.0,0.48
360.0,8.8,74.18,2.02,4.3,1.0,0.16,0.33,0.0,0.11,0.0,0.76,418.0,0.0,30.38,27.0,0.0,76.0,0.0,0.42
355.0,10.73,71.08,2.69,4.2,1.0,0.18,0.42,0.0,0.1,0.0,0.8,409.0,0.0,38.2,35.0,0.0,95.0,0.0,0.58
371.0,13.7,68.18,1.42,9.4,0.0,0.1,0.0,0.0,0.66,0.0,0.54,47.0,0.0,49.45,270.0,0.0,458.0,0.0,3.2
333.0,11.8,74.8,2.0,9.9,0.0,0.44,0.0,0.0,0.94,49.0,0.48,44.0,0.0,3.3,147.0,0.0,406.0,0.0,4.1
368.0,6.9,83.3,28.6,9.5,0.0,2.41,7.0,72.0,0.0,0.0,1.8,25.0,0.0,27.89,59.0,0.0,180.0,0.0,1.5
351.0,8.7,84.7,22.7,10.3,2.0,0.91,2.7,0.0,0.67,599.0,0.68,30.0,0.0,29.5,82.0,0.0,349.0,0.0,2.7
338.0,12.0,79.0,12.4,11.2,0.0,0.285,0.0,0.0,0.96,36.0,0.364,29.0,0.413,3.1,81.0,0.0,225.0,67.3,1.5
358.0,9.4,83.5,20.5,5.0,0.0,0.1,0.0,19.0,0.0,0.0,0.23,14.0,0.0,1.8,43.0,0.0,98.0,0.0,0.9
357.0,5.59,87.3,23.89,10.1,481.0,1.66,5.0,20.0,0.08,553.0,1.25,5.0,0.244,15.0,29.0,0.116,72.0,8.9,0.69
359.0,31.2,60.6,20.3,8.3,0.0,2.19,6.6,66.0,22.11,731.0,1.64,79.0,0.0,25.3,95.0,0.0,359.0,0.0,3.3
395.0,6.3,87.6,37.4,2.9,1081.0,2.15,7.3,1.9,0.21,1787.0,1.87,14.0,0.167,7.86,31.0,0.603,101.0,10.8,7.43
397.0,5.77,89.72,51.34,2.6,1206.0,2.067,6.67,27.6,0.43,1250.0,1.74,11.0,0.168,7.92,46.0,0.852,140.0,27.2,7.3
398.0,4.46,74.68,32.7,4.4,0.0,2.05,5.76,29.9,0.31,1121.0,1.58,367.0,0.0,33.81,31.0,0.0,137.0,0.0,13.94
320.0,8.0,78.09,32.09,13.7,377.0,0.85,2.54,0.7,0.58,563.0,0.636,34.0,0.489,9.81,165.0,0.0,396.0,37.6,3.8
443.0,4.9,79.91,35.36,4.7,500.0,1.96,5.0,25.0,0.97,1121.0,1.5,338.0,0.0,34.29,38.0,0.0,176.0,0.0,14.68
365.0,10.48,77.2,0.7,2.9,0.0,2.0,0.0,0.0,0.0,0.0,1.22,377.0,0.0,40.93,13.0,0.0,109.0,0.0,0.51
368.0,8.82,80.52,28.0,1.8,0.0,1.74,0.0,1.0,0.03,1498.0,1.05,318.0,0.0,31.29,15.0,0.0,125.0,0.0,0.5
390.0,9.63,82.21,38.73,5.6,0.0,2.67,2.32,30.6,1.83,0.0,1.49,397.0,0.27,17.07,102.0,4.106,358.0,25.4,16.25
393.0,4.63,83.51,47.18,2.2,0.0,1.75,5.23,28.8,0.0,1014.0,1.41,367.0,0.0,30.42,23.0,0.0,90.0,0.0,12.3
431.0,5.8,79.09,34.79,4.7,467.0,2.0,4.92,21.0,1.74,1121.0,1.41,388.0,0.175,32.06,27.0,0.0,174.0,23.9,12.0
402.0,4.09,89.4,45.2,1.1,942.0,3.31,8.18,0.0,0.06,584.0,1.6,17.0,0.162,6.8,30.0,0.0,70.0,8.6,5.44
388.0,9.39,82.9,17.89,10.5,0.0,1.47,2.65,0.0,0.52,1216.0,0.75,25.0,0.304,29.0,106.0,0.0,311.0,45.6,6.09
404.0,3.9,90.1,42.6,1.0,1090.0,2.74,6.9,1.0,1.27,840.0,1.46,3.0,0.128,7.62,15.0,0.631,67.0,9.0,5.99
310.0,10.21,79.77,17.17,16.9,531.0,6.8,20.69,239.7,80.46,0.0,4.713,45.0,0.345,67.67,190.0,3.467,533.0,9.2,64.33
367.0,5.83,85.79,9.51,2.6,1092.0,2.23,5.0,18.5,0.1,0.0,1.52,378.0,0.073,38.37,15.0,0.223,38.0,2.2,17.13
357.0,5.9,88.01,7.84,2.7,981.0,1.907,5.36,65.0,0.02,0.0,4.483,2.0,0.075,19.4,7.0,0.095,33.0,2.2,0.2
379.0,5.94,86.78,13.79,1.5,1256.0,2.414,7.24,20.7,0.05,0.0,1.81,8.0,0.131,27.93,16.0,0.653,63.0,2.2,7.43
378.0,6.06,86.85,10.35,1.4,814.0,5.986,0.0,38.5,0.08,0.0,6.288,10.0,0.137,34.06,19.0,0.79,77.0,6.3,7.6
381.0,6.45,86.04,8.35,0.7,608.0,2.683,0.0,46.0,0.08,0.0,2.052,5.0,0.158,10.53,24.0,1.057,96.0,13.6,1.19
413.0,6.47,72.05,45.97,0.4,188.0,0.819,2.0,15.4,0.42,159.0,0.615,410.0,0.049,5.99,21.0,0.206,155.0,7.7,0.84
48.0,1.53,9.2,0.13,0.4,0.0,0.25,0.0,0.1,0.0,0.0,0.15,46.0,0.015,5.19,2.0,0.0,28.0,2.7,0.07
47.0,1.37,9.22,2.17,0.4,0.0,0.27,0.0,0.0,0.27,0.0,0.15,49.0,0.0,5.59,4.0,0.0,16.0,0.0,0.2
381.0,5.59,84.4,36.79,5.3,505.0,1.78,5.4,21.4,0.57,594.0,1.29,357.0,0.212,16.1,57.0,0.0,214.0,9.9,13.39
367.0,7.1,85.3,32.1,8.1,702.0,2.19,6.6,66.0,0.0,731.0,1.64,27.0,0.313,25.3,51.0,2.469,157.0,29.5,1.2
337.0,11.0,81.4,11.3,11.8,0.0,0.2,0.0,0.0,0.67,0.0,0.29,29.0,0.0,2.9,75.0,0.0,174.0,0.0,1.5
369.0,10.39,80.0,22.5,8.1,114.0,3.64,11.0,55.0,24.75,1206.0,0.15,43.0,0.408,3.59,9.0,3.318,189.0,23.4,2.7
336.0,11.0,79.0,16.5,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0
352.0,8.7,84.6,22.7,10.2,0.0,0.91,2.7,0.0,0.67,606.0,0.68,26.0,0.3,29.5,81.0,0.0,346.0,0.0,2.7
378.0,7.7,83.2,30.4,9.3,749.0,2.33,7.0,70.0,1.34,781.0,1.75,32.0,0.306,27.0,73.0,2.396,202.0,28.1,1.5
384.0,8.9,76.6,25.5,11.1,467.0,1.0,3.1,25.0,5.63,341.0,0.8,40.0,0.3,3.8,89.0,0.0,255.0,37.0,3.1
409.0,9.09,72.73,31.8,1.8,0.0,0.909,0.0,0.0,2.94,15.0,0.682,31.0,0.185,2.56,46.0,1.407,136.0,24.9,1.78
373.0,9.33,78.56,23.12,6.3,0.0,1.842,0.0,0.0,0.57,0.0,1.381,366.0,0.0,29.73,90.0,0.0,391.0,0.0,13.82
397.0,4.44,85.92,44.31,2.6,27.0,2.179,0.0,0.1,0.42,2600.0,1.635,11.0,0.151,19.78,55.0,0.0,168.0,6.5,16.36
400.0,6.67,81.75,30.0,6.7,750.0,1.667,5.0,20.0,0.33,1123.0,1.25,333.0,0.227,15.0,80.0,0.0,200.0,17.8,12.5
413.0,8.5,77.4,22.5,7.4,431.0,1.0,2.9,0.1,0.99,314.0,0.7,39.0,0.3,3.5,85.0,0.0,259.0,32.1,2.9
379.0,16.79,66.9,22.2,15.0,1.0,0.03,0.0,1.0,2.68,43.0,0.07,75.0,0.611,2.8,105.0,3.404,270.0,17.5,0.6
367.0,18.39,68.0,17.7,12.0,0.0,0.05,0.0,1.0,0.0,11.0,0.23,66.0,0.0,3.7,68.0,0.0,241.0,0.0,0.89
360.0,22.29,61.09,14.8,18.5,0.0,0.02,0.0,0.0,0.0,0.0,0.2,95.0,0.0,2.7,21.0,0.0,117.0,0.0,0.6
356.0,11.8,81.0,5.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,24.0,84.0,0.0,271.0,0.0,0.0
353.0,11.1,73.8,25.0,12.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,47.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0
356.0,11.39,73.59,23.79,12.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0
355.0,11.61,71.79,0.47,4.4,0.0,0.09,0.0,0.0,0.37,0.0,0.76,882.0,0.206,32.02,46.0,1.367,398.0,0.0,1.35
56.0,1.44,11.74,0.07,0.7,0.0,0.031,0.0,0.0,0.04,40.0,0.093,104.0,0.036,4.09,7.0,0.188,47.0,0.0,0.22
52.0,1.88,10.1,0.34,0.7,0.0,0.033,0.0,0.0,0.06,46.0,0.087,131.0,0.052,4.98,8.0,0.226,57.0,0.0,0.26
